Seagrit Bl/Crest Rd, Mott Av/ Central Av, G Brwr Bl/Farmers Bl, G Brwr Bl/115 Av,Parsons Bl/88 Av
1:30,1:38,2:02,2:11,2:22
2:30,2:38,3:02,3:11,3:22
3:30,3:38,4:02,4:11,4:22
4:30,4:39,5:09,5:20,5:33
4:50,4:59,5:29,5:40,5:53
5:10,5:19,5:49,6:00,6:13
5:30,5:40,6:13,6:24,6:37
5:42,5:51,6:07,6:17,6:29
5:54,6:04,6:37,6:46,7:00
6:06,6:15,6:31,6:40,6:54
6:18,6:28,6:59,7:08,7:24
6:30,6:40,6:58,7:07,7:21
6:36,6:45,7:16,7:27,7:43
6:43,6:53,7:11,7:20,7:34
6:49,6:58,7:29,7:40,7:56
6:56,7:06,7:24,7:33,7:49
7:02,7:13,7:47,7:58,8:14
7:09,7:19,7:37,7:48,8:04
7:19,7:30,8:04,8:15,8:31
7:29,7:39,7:57,8:08,8:24
7:39,7:50,8:24,8:35,8:49
7:49,7:59,8:17,8:28,8:44
7:59,8:10,8:42,8:51,9:05
8:11,8:21,8:39,8:48,9:02
8:23,8:34,9:05,9:14,9:28
8:35,8:45,9:03,9:12,9:26
8:47,8:57,9:28,9:37,9:51
8:59,9:09,9:27,9:36,9:48
9:11,9:21,9:53,10:04,10:18
9:23,9:33,9:50,9:59,10:13
9:35,9:46,10:19,10:30,10:44
9:47,9:56,10:14,10:25,10:39
9:59,10:10,10:43,10:54,11:08
10:11,10:21,10:40,10:51,11:05
10:23,10:34,11:07,11:18,11:33
10:35,10:45,11:04,11:15,11:30
10:47,10:58,11:31,11:42,11:57
10:59,11:09,11:28,11:39,11:54
11:11,11:22,11:55,12:06,12:21
11:23,11:33,11:52,12:03,12:18
11:35,11:46,12:20,12:31,12:45
11:47,11:57,12:16,12:27,12:42
11:59,12:10,12:46,12:57,13:11
12:11,12:21,12:41,12:52,13:06
12:23,12:34,13:10,13:21,13:35
12:35,12:46,13:06,13:17,13:31
12:47,12:58,13:34,13:45,13:59
12:59,13:10,13:30,13:41,13:55
13:11,13:22,13:58,14:09,14:22
13:23,13:34,13:54,14:05,14:20
13:35,13:46,14:21,14:31,14:44
13:47,13:58,14:18,14:30,14:43
13:59,14:10,14:43,14:53,15:06
14:11,14:22,14:42,14:52,15:05
14:23,14:33,15:06,15:16,15:29
14:35,14:45,15:04,15:14,15:27
14:47,14:57,15:30,15:40,15:53
14:57,15:07,15:26,15:36,15:49
15:07,15:17,15:50,16:00,16:13
15:17,15:27,15:46,15:56,16:09
15:27,15:37,16:10,16:20,16:33
15:37,15:47,16:06,16:16,16:29
15:47,15:57,16:30,16:40,16:53
15:55,16:05,16:24,16:34,16:47
16:03,16:13,16:46,16:56,17:09
16:11,16:21,16:40,16:50,17:03
16:20,16:30,17:03,17:13,17:26
16:30,16:40,16:59,17:09,17:22
16:40,16:50,17:23,17:33,17:46
16:50,17:00,17:19,17:29,17:42
17:00,17:10,17:43,17:53,18:06
17:07,17:17,17:36,17:46,17:59
17:15,17:25,17:58,18:08,18:21
17:22,17:32,17:51,18:01,18:14
17:29,17:39,18:12,18:22,18:35
17:36,17:46,18:05,18:15,18:28
17:44,17:54,18:27,18:37,18:50
17:52,18:02,18:21,18:31,18:43
18:00,18:10,18:43,18:53,19:06
18:12,18:22,18:40,18:49,19:01
18:24,18:34,19:07,19:17,19:30
18:36,18:44,19:01,19:12,19:25
18:48,18:58,19:31,19:41,19:53
19:00,19:10,19:28,19:39,19:51
19:12,19:22,19:55,20:05,20:17
19:24,19:34,19:52,20:02,20:14
19:36,19:46,20:18,20:28,20:40
19:48,19:57,20:15,20:25,20:37
20:00,20:10,20:42,20:52,21:04
20:12,20:21,20:39,20:49,21:01
20:24,20:34,21:06,21:16,21:28
20:36,20:45,21:03,21:13,21:25
20:48,20:58,21:29,21:39,21:51
21:00,21:09,21:37,21:47,21:59
21:10,21:19,21:47,21:57,22:09
21:24,21:33,22:01,22:11,22:23
21:36,21:45,22:13,22:23,22:35
21:50,21:59,22:27,22:37,22:49
22:10,22:19,22:47,22:57,23:08
22:30,22:39,23:07,23:16,23:27
23:00,23:09,23:37,23:46,23:57
23:30,23:39,0:07,0:16,0:27
0:00,0:08,0:32,0:41,0:52
0:30,0:38,1:02,1:11,1:22
